ID	COMPOUND_ID	SPECIES_TEXT	SPECIES_ACCESSION	COMPONENT_TEXT	COMPONENT_ACCESSION	STRAIN_TEXT	STRAIN_ACCESSION	SOURCE_TYPE	SOURCE_ACCESSION	COMMENTS
12019	34741	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	11410004	null
12020	34741	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	17449595	null
12024	88873	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12025	88874	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	PubMed Id	24421258	null
12026	88875	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12032	88876	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12033	88876	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12034	88877	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12035	88877	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12036	88878	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12037	88879	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12038	88879	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12039	88880	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12040	4614	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	Article	Zhang, S., Liu, L., Steffen, D., Ye, T., Raftery, D. (2012) Metabolic profiling of gender: Headspace-SPME/GC?MS and 1H NMR analysis of urine. Metabolomics 8:323?334.	null
12041	4614	Homo sapiens	NCBI:txid9606	faeces	UBERON:0001988	null	null	PubMed Id	19167006	null
12042	4614	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	PubMed Id	24421258	null
12043	88881	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12044	88882	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12049	88883	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12050	88883	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12051	88884	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12052	88885	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12053	88885	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12054	88886	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12055	88886	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12056	88887	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12057	88887	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12064	88888	Homo sapiens	NCBI:txid9606	faeces	UBERON:0001988	null	null	PubMed Id	22664055	null
12066	88890	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12080	88891	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12081	88892	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12082	88893	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12083	88893	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12084	88894	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12085	88894	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12086	88895	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12087	88895	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12088	88896	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12089	88896	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12090	88897	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12091	88898	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12092	88899	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12093	88900	Homo sapiens	NCBI:txid9606	faeces	UBERON:0001988	null	null	PubMed Id	21386183	null
12094	88900	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	PubMed Id	24421258	null
12100	88901	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	20671299	null
12107	88902	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	17449595	null
12108	88902	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	14698210	null
12112	88903	Homo sapiens	NCBI:txid9606	faeces	UBERON:0001988	null	null	PubMed Id	17314143	null
12113	88904	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12114	88904	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12119	34137	Homo sapiens	NCBI:txid9606	blood	UBERON:0000178	null	null	PubMed Id	21359215	null
12120	88905	Homo sapiens	NCBI:txid9606	saliva	UBERON:0001836	null	null	Article	Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)	null
12121	88905	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12122	88906	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12123	88907	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
12124	88908	Homo sapiens	NCBI:txid9606	urine	BTO:0001419	null	null	PubMed Id	24023812	null
