ID	COMPOUND_ID	SPECIES_TEXT	SPECIES_ACCESSION	COMPONENT_TEXT	COMPONENT_ACCESSION	STRAIN_TEXT	STRAIN_ACCESSION	SOURCE_TYPE	SOURCE_ACCESSION	COMMENTS
3254	1879	Penicillium chrysogenum	NCBI:txid5076	mycelium	BTO:0001436	PXP 55	null	PubMed Id	21381678	Fungus isolated from the root surface of Rhizophora stylosa, EtOAc extract of fermentation broth
3255	28478	Penicillium chrysogenum	NCBI:txid5076	mycelium	BTO:0001436	PXP 55	null	PubMed Id	21381678	Fungus isolated from the root surface of Rhizophora stylosa, EtOAc extract of fermentation broth
3256	68078	Penicillium chrysogenum	NCBI:txid5076	mycelium	BTO:0001436	PXP 55	null	PubMed Id	21381678	Fungus isolated from the root surface of Rhizophora stylosa, EtOAc extract of fermentation broth
3257	18101	Penicillium chrysogenum	NCBI:txid5076	mycelium	BTO:0001436	null	null	PubMed Id	21381678	Fungus isolated from the root surface of Rhizophora stylosa, EtOAc extract of fermentation broth
3258	68079	Xylaria	NCBI:txid37991	null	null	null	null	PubMed Id	21428374	Endolichenic fungi isolated from Leptogium saturninum and EtOAc extract of fermented rice substrate
3259	68080	Xylaria	NCBI:txid37991	null	null	null	null	PubMed Id	21428374	Endolichenic fungi isolated from Leptogium saturninum and EtOAc extract of fermented rice substrate
3260	68081	Xylaria	NCBI:txid37991	null	null	null	null	PubMed Id	21428374	Endolichenic fungi isolated from Leptogium saturninum and EtOAc extract of fermented rice substrate
3261	68082	Xylaria	NCBI:txid37991	null	null	null	null	PubMed Id	21428374	Endolichenic fungi isolated from Leptogium saturninum and EtOAc extract of fermented rice substrate
3262	68083	Xylaria	NCBI:txid37991	null	null	null	null	PubMed Id	21428374	Endolichenic fungi isolated from Leptogium saturninum and EtOAc extract of fermented rice substrate
3263	69431	Xylaria	NCBI:txid37991	null	null	null	null	PubMed Id	21428374	Endolichenic fungi isolated from Leptogium saturninum and EtOAc extract of fermented rice substrate
3264	68085	Xylaria	NCBI:txid37991	null	null	null	null	PubMed Id	21428374	Endolichenic fungi isolated from Leptogium saturninum and EtOAc extract of fermented rice substrate
3265	68086	Xylaria	NCBI:txid37991	null	null	null	null	PubMed Id	21428374	Endolichenic fungi isolated from Leptogium saturninum and EtOAc extract of fermented rice substrate
3266	68087	Kopsia grandifolia	IPNI:60436655-2	stem	BTO:0001300	null	null	PubMed Id	21428274	Previous component: stem bark; stembark extract
3267	68088	Kopsia grandifolia	IPNI:60436655-2	stem	BTO:0001300	null	null	PubMed Id	21428274	Previous component: stem bark; stembark extract
3268	68089	Kopsia grandifolia	IPNI:60436655-2	leaf	BTO:0000713	null	null	PubMed Id	21428274	leaf extract
3269	68090	Kopsia grandifolia	IPNI:60436655-2	stem	BTO:0001300	null	null	PubMed Id	21428274	Previous component: stem bark; stembark extract
3270	68091	Kopsia grandifolia	IPNI:60436655-2	stem	BTO:0001300	null	null	PubMed Id	21428274	Previous component: stem bark; stembark extract
3271	68092	Kopsia grandifolia	IPNI:60436655-2	stem	BTO:0001300	null	null	PubMed Id	21428274	Previous component: stem bark; stembark extract
3272	68093	Kopsia grandifolia	IPNI:60436655-2	leaf	BTO:0000713	null	null	PubMed Id	21428274	leaf extract
3273	68094	Kopsia grandifolia	IPNI:60436655-2	stem	BTO:0001300	null	null	PubMed Id	21428274	Previous component: stem bark; stembark extract
3274	68095	Chisocheton ceramicus	NCBI:txid155624	bark	BTO:0001301	null	null	PubMed Id	21428417	Methanolic extract of dried and powdered bark
3275	68096	Chisocheton ceramicus	NCBI:txid155624	bark	BTO:0001301	null	null	PubMed Id	21428417	Methanolic extract of dried and powdered bark
3276	68097	Chisocheton ceramicus	NCBI:txid155624	bark	BTO:0001301	null	null	PubMed Id	21428417	Methanolic extract of dried and powdered bark
3277	68098	Chisocheton ceramicus	NCBI:txid155624	bark	BTO:0001301	null	null	PubMed Id	21428417	Methanolic extract of dried and powdered bark
3278	68099	Chisocheton ceramicus	NCBI:txid155624	bark	BTO:0001301	null	null	PubMed Id	21428417	Methanolic extract of dried and powdered bark
3279	68100	Radermachera boniana	IPNI:110489-1	twig	BTO:0001411	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3280	68100	Radermachera boniana	IPNI:110489-1	leaf	BTO:0000713	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3281	68101	Radermachera boniana	IPNI:110489-1	leaf	BTO:0000713	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3282	68101	Radermachera boniana	IPNI:110489-1	twig	BTO:0001411	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3283	68102	Radermachera boniana	IPNI:110489-1	twig	BTO:0001411	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3284	68102	Radermachera boniana	IPNI:110489-1	leaf	BTO:0000713	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3285	37659	Juglans sinensis	NCBI:txid442437-1	leaf	BTO:0000713	null	null	PubMed Id	21309591	80% Methanolic extract of dried leaves and twigs
3286	37659	Rhododendron ferrugineum	NCBI:txid49622	leaf	BTO:0000713	null	null	PubMed Id	21443171	MeOH extract of CHCl3 soluble fraction of air-dried,powdered leaves,ursolic & oleanolic acid mixture
3287	37659	Radermachera boniana	IPNI:110489-1	twig	BTO:0001411	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3288	37659	Diospyros kaki	NCBI:txid35925	calyx	BTO:0000169	null	null	PubMed Id	21561086	null
3289	37659	Juglans sinensis	NCBI:txid442437-1	twig	BTO:0001411	null	null	PubMed Id	21309591	80% Methanolic extract of dried leaves and twigs
3290	37659	Radermachera boniana	IPNI:110489-1	leaf	BTO:0000713	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3291	37659	Symplocos lancifolia	NCBI:txid239704	leaf	BTO:0000713	null	null	PubMed Id	21288041	Dried, powdered leaves extracted with boiling 80% methanol
3292	37659	Panax japonicus var. major	NCBI:txid45211	root	BTO:0001188	null	null	PubMed Id	21417387	Ethanolic extract of dried and pulverized roots
3293	37659	Rhododendron	NCBI:txid4346	null	null	null	null	PubMed Id	21443171	null
3294	68103	Radermachera boniana	IPNI:110489-1	leaf	BTO:0000713	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3295	68103	Radermachera boniana	IPNI:110489-1	twig	BTO:0001411	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3296	68104	Radermachera boniana	IPNI:110489-1	twig	BTO:0001411	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3297	68104	Radermachera boniana	IPNI:110489-1	leaf	BTO:0000713	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3298	68105	Radermachera boniana	IPNI:110489-1	twig	BTO:0001411	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3299	68105	Radermachera boniana	IPNI:110489-1	leaf	BTO:0000713	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3300	68106	Halichondria okadai	NCBI:txid163232	null	null	null	null	PubMed Id	21410164	Methanolic extract of the crushed black sponge
3301	68107	Mariannaea camptospora	NCBI:txid233850	null	null	TAMA 118	null	PubMed Id	21488655	The strain was isolated from a rotten wood sample
3302	68108	Mariannaea camptospora	NCBI:txid233850	null	null	TAMA 118	null	PubMed Id	21488655	The strain was isolated from a rotten wood sample
3303	68109	Penicillium paneum	NCBI:txid68879	null	null	SD 44	null	PubMed Id	21495659	Ethylacetate extract of fermented rice substrate
3304	68110	Penicillium paneum	NCBI:txid68879	null	null	SD 44	null	PubMed Id	21495659	Ethylacetate extract of fermented rice substrate
3305	68111	Penicillium paneum	NCBI:txid68879	null	null	SD 44	null	PubMed Id	21495659	Ethylacetate extract of fermented rice substrate
3306	68112	Penicillium paneum	NCBI:txid68879	null	null	SD 44	null	PubMed Id	21495659	Ethylacetate extract of fermented rice substrate
3307	68112	Isaria farinosa	NCBI:txid89141	null	null	null	null	PubMed Id	21495659	Cordyceps colonizing fungus
3308	68113	Thorecta reticulata	NCBI:txid1162800	null	null	null	null	PubMed Id	21513294	Methanolic extract of freeze dried animal material
3309	68114	Thorecta reticulata	NCBI:txid1162800	null	null	null	null	PubMed Id	21513294	Methanolic extract of freeze dried animal material
3310	68115	Thorecta reticulata	NCBI:txid1162800	null	null	null	null	PubMed Id	21513294	Methanolic extract of freeze dried animal material
3311	68116	Clivia nobilis	NCBI:txid112537	null	null	null	null	PubMed Id	21469691	null
3312	68117	Streptomyces species RI051-SDHV6	NCBI:txid867680	mycelium	BTO:0001436	null	null	PubMed Id	21491925	The mycelial cake was extracted with 80% aqueous acetone
3313	68118	Arthrobotrys oligospora	NCBI:txid13349	null	null	YMF 1.3170	null	PubMed Id	21568306	Ethyl acetate extract of culture broth filtrate of Strain YMF 1.3170 isolated from a grapery
3314	68119	Arthrobotrys oligospora	NCBI:txid13349	null	null	YMF 1.3170	null	PubMed Id	21568306	Ethyl acetate extract of culture broth filtrate of Strain YMF 1.3170 isolated from a grapery
3315	68120	Arthrobotrys oligospora	NCBI:txid13349	null	null	YMF 1.3170	null	PubMed Id	21568306	Ethyl acetate extract of culture broth filtrate of Strain YMF 1.3170 isolated from a grapery
3316	68121	Croton pullei var. glabrior	IPNI:343310-1	null	null	null	null	PubMed Id	21545108	null
3317	68121	Julocroton montevidensis	IPNI:350558-1	null	null	null	null	PubMed Id	21545108	null
3318	68122	Lyngbya	NCBI:txid28073	null	null	15 2	null	PubMed Id	21650153	Lyngbya sp. Isolated from Florida Everglades
3319	68123	Lyngbya	NCBI:txid28073	null	null	15 2	null	PubMed Id	21650153	Lyngbya sp. Isolated from Florida Everglades
3320	63710	Phoebe porosa	IPNI:193807-2	null	null	null	null	PubMed Id	21574561	compound isolated from phoebe oil, an essential oil of Phoebe porosa
3321	63710	Zea mays	NCBI:txid4577	husk	BTO:0000609	null	null	PubMed Id	21574561	Volatile compound collected from husks of B73 inbred line
3322	63710	Fraxinus americana	NCBI:txid38872	null	null	null	null	PubMed Id	21574561	Dichloromethane  extract of volatile compound collected from freshly cut white ash
3323	63710	Ocimum basilicum	NCBI:txid39350	null	null	null	null	PubMed Id	21574561	compound isolated in ZIS(alpha-zingeberene synthase) gene overexpressed in transgenic tomato
3324	63710	Zea mays	NCBI:txid4577	leaf	BTO:0000713	null	null	PubMed Id	21574561	Volatile compound collected from husks of B73 inbred line
3325	68124	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3326	68125	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3327	68126	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3328	68127	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3329	68128	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3330	68129	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3331	68130	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3332	68131	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	1. Dried powdered roots2. The E derivative, isolated from the mycelia of Rhizoctonia strain F23372
3333	68132	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3334	68133	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots, compound is the mixture of 3S and 3R isomers
3335	68134	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3336	68135	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3337	68136	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3338	68137	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3339	68138	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3340	68139	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3341	5776	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3342	68141	Scorzonera judaica	NCBI:txid895824-1	tuberous root	BTO:0001309	null	null	PubMed Id	21650157	Dried powdered roots
3343	68142	Parapiptadenia rigida	NCBI:txid148713	bark	BTO:0001301	null	null	PubMed Id	21553897	EtOH extract of air-dried and powdered bark
3344	68142	Morella rubra	NCBI:txid262757	bark	BTO:0001301	null	null	PubMed Id	21553897	null
3345	68143	Parapiptadenia rigida	NCBI:txid148713	bark	BTO:0001301	null	null	PubMed Id	21553897	EtOH extract of air-dried and powdered bark
3346	68144	Parapiptadenia rigida	NCBI:txid148713	bark	BTO:0001301	null	null	PubMed Id	21553897	EtOH extract of air-dried and powdered bark
3347	68145	Parapiptadenia rigida	NCBI:txid148713	bark	BTO:0001301	null	null	PubMed Id	21553897	EtOH extract of air-dried and powdered bark, compound is a mixture of two stable rotamers
3348	10353	Acorus calamus	NCBI:txid4465	rhizome	BTO:0001181	null	null	PubMed Id	21563811	Dried and cut rhizomes(ground roots) extracted by maceration with petroleum ether
3349	68147	Sarcophyton glaucum	NCBI:txid70919	null	null	null	null	PubMed Id	21563811	null
3350	68147	Acorus calamus	NCBI:txid4465	rhizome	BTO:0001181	null	null	PubMed Id	21563811	Dried and cut rhizomes(ground roots) extracted by maceration with petroleum ether
3351	68148	Acorus calamus	NCBI:txid4465	rhizome	BTO:0001181	null	null	PubMed Id	21563811	Dried and cut rhizomes(ground roots) extracted by maceration with petroleum ether
3352	68149	Acorus calamus	NCBI:txid4465	rhizome	BTO:0001181	null	null	PubMed Id	21563811	Dried and cut rhizomes(ground roots) extracted by maceration with petroleum ether
3353	68150	Acorus calamus	NCBI:txid4465	rhizome	BTO:0001181	null	null	PubMed Id	21563811	Dried and cut rhizomes(ground roots) extracted by maceration with petroleum ether
3354	68151	Acorus calamus	NCBI:txid4465	rhizome	BTO:0001181	null	null	PubMed Id	21563811	Dried and cut rhizomes(ground roots) extracted by maceration with petroleum ether
3355	68152	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95% aqueous EtOH extract of air-dried bark
3356	68153	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95% aqueous EtOH extract of air-dried bark
3357	68154	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95% aqueous EtOH extract of air-dried bark
3358	68155	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95% aqueous EtOH extract of air-dried bark
3359	68156	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95% aqueous EtOH extract of air-dried bark
3360	68157	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95% aqueous EtOH extract of air-dried bark
3361	68158	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95% aqueous EtOH extract of air-dried bark
3362	68159	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95% aqueous EtOH extract of air-dried bark
3363	68160	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95% aqueous EtOH extract of air-dried bark
3364	68161	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95% aqueous EtOH extract of air-dried bark
3365	68162	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95% aqueous EtOH extract of air-dried bark
3366	68163	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95% aqueous EtOH extract of air-dried bark
3367	68164	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3368	68165	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3369	68166	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3370	68167	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3371	67245	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3372	68168	Sinocalamus affinis	IPNI:421970-1	stem	BTO:0001300	null	null	PubMed Id	21469695	95% Ethanolic extract of skin-removed, air-dried, powdered stems.
3373	68168	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3374	68169	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3375	68170	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3376	68171	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3377	68172	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3378	68173	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3379	68174	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3380	49212	Sinocalamus affinis	IPNI:421970-1	stem	BTO:0001300	null	null	PubMed Id	21469695	95% Ethanolic extract of skin-removed, air-dried, powdered stems.
3381	49212	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3382	68175	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3383	68176	Machilus robusta	NCBI:txid460780	bark	BTO:0001301	null	null	PubMed Id	21627109	95%aqueous EtOH extract of air-dried bark
3384	68177	Euphorbia esula	NCBI:txid3993	whole plant	BTO:0001461	null	null	PubMed Id	21612217	MeOH extract of whole fresh plant
3385	68178	Euphorbia esula	NCBI:txid3993	whole plant	BTO:0001461	null	null	PubMed Id	21612217	MeOH extract of whole fresh plant
3386	68179	Euphorbia esula	NCBI:txid3993	whole plant	BTO:0001461	null	null	PubMed Id	21612217	MeOH extract of whole fresh plant
3387	68180	Euphorbia esula	NCBI:txid3993	whole plant	BTO:0001461	null	null	PubMed Id	21612217	MeOH extract of whole fresh plant
3388	68181	Euphorbia esula	NCBI:txid3993	whole plant	BTO:0001461	null	null	PubMed Id	21612217	MeOH extract of whole fresh plant
3389	68182	Euphorbia esula	NCBI:txid3993	whole plant	BTO:0001461	null	null	PubMed Id	21612217	MeOH extract of whole fresh plant
3390	68183	Euphorbia peplus	NCBI:txid38846	null	null	null	null	PubMed Id	21612217	null
3391	68183	Euphorbia esula	NCBI:txid3993	whole plant	BTO:0001461	null	null	PubMed Id	21612217	MeOH extract of whole fresh plant
3392	68184	Euphorbia salicifolia	NCBI:txid1087779	null	null	null	null	PubMed Id	21612217	null
3393	68184	Euphorbia esula	NCBI:txid3993	whole plant	BTO:0001461	null	null	PubMed Id	21612217	MeOH extract of whole fresh plant
3394	68185	Euphorbia esula	NCBI:txid3993	whole plant	BTO:0001461	null	null	PubMed Id	21612217	MeOH extract of whole fresh plant
3395	68185	Euphorbia salicifolia	NCBI:txid1087779	null	null	null	null	PubMed Id	21612217	null
3396	68186	Eurotium repens	NCBI:txid41409	null	null	null	null	PubMed Id	21667972	EtOAc extract of Lyophilized fungus which was homogenized with acetone
3397	68187	Eurotium repens	NCBI:txid41409	null	null	null	null	PubMed Id	21667972	EtOAc extract of Lyophilized fungus which was homogenized with acetone
3398	68188	Eurotium repens	NCBI:txid41409	null	null	null	null	PubMed Id	21667972	EtOAc extract of Lyophilized fungus which was homogenized with acetone
3399	68189	Eurotium repens	NCBI:txid41409	null	null	null	null	PubMed Id	21667972	EtOAc extract of Lyophilized fungus which was homogenized with acetone
3400	68190	Eurotium repens	NCBI:txid41409	null	null	null	null	PubMed Id	21667972	EtOAc extract of Lyophilized fungus which was homogenized with acetone
3401	68191	Eurotium repens	NCBI:txid41409	null	null	null	null	PubMed Id	21667972	EtOAc extract of Lyophilized fungus which was homogenized with acetone
3402	68701	Eurotium repens	NCBI:txid41409	null	null	null	null	PubMed Id	21667972	EtOAc extract of Lyophilized fungus which was homogenized with acetone
3403	68193	Eurotium repens	NCBI:txid41409	null	null	null	null	PubMed Id	21667972	EtOAc extract of Lyophilized fungus which was homogenized with acetone
3404	68194	Eurotium repens	NCBI:txid41409	null	null	null	null	PubMed Id	21667972	EtOAc extract of Lyophilized fungus which was homogenized with acetone
3405	9908	Radermachera boniana	IPNI:110489-1	twig	BTO:0001411	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3406	9908	Leonurus cardiaca	NCBI:txid587664	null	null	null	null	PubMed Id	21648406	Commercial herbal preperation
3407	9908	Rhododendron	NCBI:txid4346	null	null	null	null	PubMed Id	21443171	null
3408	9908	Terminalia catappa	NCBI:txid39993	leaf	BTO:0000713	null	null	PubMed Id	21648406	Chloroform extract of leaves
3409	9908	Crataegus laevigata	NCBI:txid298643	null	null	null	null	PubMed Id	21648406	Commercial herbal preperation
3410	9908	Radermachera boniana	IPNI:110489-1	leaf	BTO:0000713	null	null	PubMed Id	21469696	Ethylacetate extract of dried and ground mixture of twigs and leaves
3411	9908	Rosa laevigata	NCBI:txid74652	leaf	BTO:0000713	null	null	PubMed Id	21384845	70% EtOH extract of dried leaves
3412	9908	Symplocos lancifolia	NCBI:txid239704	leaf	BTO:0000713	null	null	PubMed Id	21288041	Dried, powdered leaves extracted with boiling 80% methanol
3413	9908	Rhododendron ferrugineum	NCBI:txid49622	leaf	BTO:0000713	null	null	PubMed Id	21443171	MeOH extract of CHCl3 soluble fraction of air-dried,powdered leaves,ursolic & oleanolic acid mixture
3414	9908	Juglans sinensis	NCBI:txid442437-1	leaf	BTO:0000713	null	null	PubMed Id	21309591	80% Methanolic extract of dried leaves and twigs
3415	9908	Crataegus monogyna	NCBI:txid140997	null	null	null	null	PubMed Id	21648406	null
3416	9908	Vaccinium macrocarpon	NCBI:txid13750	fruit	BTO:0000486	null	null	PubMed Id	21648406	null
3417	9908	Prunus domestica	NCBI:txid3758	fruit	BTO:0000486	null	null	PubMed Id	21648406	null
3418	9908	Malus domestica	NCBI:txid3750	fruit	BTO:0000486	null	null	PubMed Id	21648406	null
3419	9908	Vaccinium corymbosum	NCBI:txid69266	fruit	BTO:0000486	null	null	PubMed Id	21648406	null
3420	9908	Juglans sinensis	NCBI:txid442437-1	twig	BTO:0001411	null	null	PubMed Id	21309591	80% Methanolic extract of dried leaves and twigs
3421	68195	Arthrinium sacchari	NCBI:txid166626	null	null	null	null	PubMed Id	21718054	CHCl3 extract of fermented wheat media of marine fungus(obtained from sponge surface)
3422	68196	Arthrinium sacchari	NCBI:txid166626	null	null	null	null	PubMed Id	21718054	EtOAc extract of fermented wheat media of marine fungus(obtained from sponge surface)
3423	68197	Arthrinium sacchari	NCBI:txid166626	null	null	null	null	PubMed Id	21718054	CHCl3 extract of fermented wheat media of marine fungus(obtained from sponge surface)
3424	68198	Arthrinium sacchari	NCBI:txid166626	null	null	null	null	PubMed Id	21718054	EtOAc extract of fermented wheat media of marine fungus(obtained from sponge surface)
3425	68199	Arthrinium sacchari	NCBI:txid166626	null	null	null	null	PubMed Id	21718054	EtOAc extract of fermented wheat media of marine fungus(obtained from sponge surface)
3426	68200	Arthrinium sacchari	NCBI:txid166626	null	null	null	null	PubMed Id	21718054	EtOAc extract of fermented wheat media of marine fungus(obtained from sponge surface)
3427	68201	Arthrinium sacchari	NCBI:txid166626	null	null	null	null	PubMed Id	21718054	CHCl3 extract of fermented wheat media of marine fungus(obtained from sponge surface)
3428	68202	Aspergillus aculeatus	NCBI:txid5053	mycelium	BTO:0001436	CRI323 04	null	PubMed Id	21667999	MeOH extract of macerated mycelia of fungus isolated from sponge Xesto-spongia testudinaria
3429	68203	Aspergillus aculeatus	NCBI:txid5053	mycelium	BTO:0001436	CRI323 04	null	PubMed Id	21667999	MeOH extract of macerated mycelia of fungus isolated from sponge Xesto-spongia testudinaria
3430	68204	Aspergillus fumigatus	NCBI:txid746128	null	null	null	null	PubMed Id	21667925	From culture of Aspergillus fumigatus and also its coculture with streptomyces peucetius
3431	68204	Streptomyces peucetius	NCBI:txid1950	null	null	null	null	PubMed Id	21667925	Co-culture of fungus Aspergillus fumigatus with the bacteria streptomyces peucetius, BuOH extract
3432	68205	Aspergillus fumigatus	NCBI:txid746128	null	null	null	null	PubMed Id	21667925	From culture of Aspergillus fumigatus and also its coculture with streptomyces peucetius
3433	68205	Streptomyces peucetius	NCBI:txid1950	null	null	null	null	PubMed Id	21667925	Co-culture of fungus Aspergillus fumigatus with the bacteria streptomyces peucetius, BuOH extract.
3434	68206	Aspergillus fumigatus	NCBI:txid746128	null	null	null	null	PubMed Id	21667925	From culture of Aspergillus fumigatus and also its coculture with streptomyces peucetius
3435	68206	Penicillium chrysogenum	NCBI:txid5076	null	null	null	null	PubMed Id	21667925	null
3436	68206	Streptomyces peucetius	NCBI:txid1950	null	null	null	null	PubMed Id	21667925	Co-culture of fungus Aspergillus fumigatus with the bacteria streptomyces peucetius, BuOH extract.
3437	68207	Streptomyces peucetius	NCBI:txid1950	null	null	null	null	PubMed Id	21667925	Co-culture of fungus Aspergillus fumigatus with the bacteria streptomyces peucetius, BuOH extract.
3438	68207	Aspergillus fumigatus	NCBI:txid746128	null	null	null	null	PubMed Id	21667925	Co-culture of fungus Aspergillus fumigatus with the bacteria streptomyces peucetius, BuOH extract.
3439	68208	Aspergillus	NCBI:txid5052	null	null	null	null	PubMed Id	21667925	null
3440	68208	Aspergillus fumigatus	NCBI:txid746128	null	null	null	null	PubMed Id	21667925	Co-culture of fungus Aspergillus fumigatus with the bacteria streptomyces peucetius, BuOH extract.
3441	68208	Streptomyces peucetius	NCBI:txid1950	null	null	null	null	PubMed Id	21667925	Co-culture of fungus Aspergillus fumigatus with the bacteria streptomyces peucetius, BuOH extract.
3442	68209	Dichotella gemmacea	NCBI:txid767270	null	null	null	null	PubMed Id	21721519	Ethyl acetate soluble portion of combined extract of acetone and methanol of frozen specimen
3443	68210	Dichotella gemmacea	NCBI:txid767270	null	null	null	null	PubMed Id	21721519	Ethyl acetate soluble portion of combined extract of acetone and methanol of frozen specimen
3444	68211	Dichotella gemmacea	NCBI:txid767270	null	null	null	null	PubMed Id	21721519	Ethyl acetate soluble portion of combined extract of acetone and methanol of frozen specimen
