peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Subject,184,214,289,317,320,327,348,353,373,387,408,461,528,739
M232T866_POS,231.9862643998323,231.986112699697,231.98673925883898,865.7305908203125,847.46429443359375,875.9678955078125,22,14,34194118.75257982,38329409.28576786,22625765.65751743,20104501.07699992,20792068.539120946,57116649.76412962,59037474.01248958,13974755.030499944,44264176.273303606,43301618.91505917,51197233.20332489,27759815.826520205,41764405.67557245,44860116.12594933
M232T970_POS,231.98635995097325,231.98624520914626,231.99729360133864,969.83563232421875,958.776,978.093,22,13,11077884.926030278,NA,20650613.460010424,24628366.2966963,23854551.543044124,19724904.356168125,15417510.230336493,16176649.316268492,40522004.06978488,11935809.287113618,17371540.429202616,10443240.386967275,35445164.1891071,13967426.62910351
M232T899_POS,231.9863669312253,231.98617051296952,231.99737427264597,899.00390625,881.2689208984375,912.69805908203125,33,13,10112287.835212389,NA,18277541.438869383,3217370.479032358,17256014.193589874,19460916.33853019,18180462.634008117,20938455.134653952,28580696.51034316,13090766.949000115,17133319.25799597,7671192.63562505,9798629.382715968,15893155.722518537
M232T923_POS,231.98633935090703,231.98617757411603,231.99724698297976,922.75311279296875,916.11651611328125,933.26397705078125,19,14,8703438.503539992,7741697.410607146,1245788.358532378,21475901.473766256,22276904.73093737,35107562.51565793,20749083.639600135,54303905.4685157,30402521.235546302,22182436.294288862,17619507.14431043,10569361.999770053,13752320.763646511,31478523.168647334
M232T956_POS,231.9863277403822,231.98621964516792,231.98677877536394,955.7292785644531,953.7939453125,958.15252685546875,8,8,9671606.079142852,NA,19061838.534375127,11560168.509093912,NA,15500875.070634898,NA,17088809.782172274,NA,13300755.041030012,18715894.276677318,12011499.851750063,NA,NA
M232T991_POS,231.98639581015948,231.98623348982647,231.9973177218581,990.8001403808594,982.452880859375,1001.7930297851562,20,13,17693963.271722246,NA,2065598.9035917905,31447704.916278534,15772145.276914945,43351720.851071335,16188571.153526712,38105105.82862513,12683854.790181722,45303330.29907562,15173743.102320023,14837022.404485384,25518849.131193127,33919525.831246495
M232T1013_POS,231.98634678926283,231.9862382898595,231.98679962656843,1013.1106958007813,1004.4862060546875,1020.4600219726562,16,12,7782336.598559822,NA,25928224.625333495,15817380.183409164,17267574.62799994,29355433.24093084,34880984.891106546,NA,21493362.345888197,10202185.948158005,28333707.829166736,15502531.199357161,12911636.294722319,11291406.666141212
M232T828_POS,232.02376096152844,232.023602841011,232.0243018084016,827.5339396972656,826.51385498046875,832.713134765625,12,12,1365199.9929925047,1368339.2326898728,6333814.6485756915,7692177.280506273,7721726.872224984,6174492.779111336,5461884.033810987,3260971.824767866,NA,5428021.371361181,6705875.086505387,2839769.8013045946,NA,2589006.464718185
M232T276_POS,232.0574654419033,232.0573186535846,232.05791193079452,276.1578369140625,275.223876953125,278.6330261230469,11,11,1089797.106377173,826030.2592285166,104770.08784586494,691241.941579588,632504.0043965883,313605.0514216697,NA,NA,347580.337573316,165435.01638292125,927818.290062814,NA,483037.5008425466,295206.86603789125
M232T484_POS,232.1406391999381,232.13883128814825,232.14121935204378,484.34356689453125,483.753,495.1446838378906,9,9,NA,228270.94379970685,131708.34704833908,509527.2983254786,548643.2383479035,NA,227680.05246033453,92284.28818303542,NA,233090.8160165252,565137.3361705738,NA,NA,89717.42214470787
M232T380_POS,232.13648947768053,232.13626495027253,232.13691652949245,380.4311254882813,379.52691650390625,381.2913818359375,8,8,NA,NA,NA,260353.69532666035,377330.67340410233,NA,54091.03013574197,NA,331330.83916113176,540684.3687749995,783254.1352157122,NA,1897941.4805555635,93921.72605273416
M232T49_POS,232.15392261887584,232.15373818113,232.15438703155138,49.22465515136719,39.26900863647461,50.687252044677734,15,14,47905637.148945875,54207778.279217966,10731364.129393194,54124653.72956408,63922926.31349623,58945510.5721489,68874217.87448679,59088013.77771617,64593338.46759892,84793084.78721008,108303817.66497183,45312083.76405131,57417969.55762149,57872109.97472062
